"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"199","CA1510019","SHAFTER, CITY OF","Kern","DISTRICT 12 - VISALIA","City",NA,"Yes","Yes","Full",NA,"Full",NA,4884,21036,54096.57092,44.70746937,"Failing",0.5,0,"NO","NO","NO","YES","NO","NONE","HIGH","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",9.95403807113403,"NONE","NONE","NONE","NONE","No","No","Yes","No","0","0","0","0","1","1","2","1"
"200","CA1510021","WASCO, CITY OF","Kern","DISTRICT 12 - VISALIA","City",NA,"Yes","Yes","Full",NA,"Full",NA,5531,22652,44073.82761,52.76966117,"Failing",0.5,0,"YES","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","HIGH","NONE","UNKNOWN","UNKNOWN","NONE","NONE","HIGH","NONE","Yes","Yes","C","GW","GW","Self-produced",10.0280475724715,"NONE","NONE","HIGH","HIGH","No","No","Yes","No","1","1","2","1","2","1","1","1"
"201","CA3610001","ADELANTO, CITY OF","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,8318,39930,35548.56358,43.95470011,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","GW","GW","Self-produced",10.5949082435704,"HIGH","NONE","HIGH","NONE","No","No","Yes","Yes","0","0","2","1","0","0","0","0"
"202","CA3610012","CHINO, CITY OF","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,23052,86435,87613.26938,33.49667164,"At-Risk",0.5,16038987,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","SWP","SW","Purchased",11.3671595346774,"HIGH","NONE","NONE","NONE","Yes","Yes","No","No","0","0","0","0","0","0","1","1"
"203","CA3610022","DWP - FAWNSKIN","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,725,1269,127917,25.99278326,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","GU","GW","Self-produced",7.14677217945264,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"204","CA3610013","LOMA LINDA, CITY OF","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,5804,25129,63362.23417,31.54114973,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","GW","GW","Self-produced",10.1318176305376,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"205","CA3610032","NEEDLES, CITY OF","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,1706,8766,35014.69231,33.88185623,"Failing",0.5,14247995,"NO","YES","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","GW","GW","Self-produced",9.07874995158859,"NONE","NONE","HIGH","NONE","Yes","Yes","No","No","0","0","1","1","1","1","0","0"
"206","CA3610037","REDLANDS CITY MUD-WATER DIV","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,23872,78025,94459.40839,27.36273685,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SW","SW","Self-produced",11.2647973834618,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"207","CA3610038","RIALTO, CITY OF","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,11996,54453,66576.21121,48.69233633,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","HIGH","Yes","Yes","C","SWP","SW","Purchased",10.9051115875546,"NONE","NONE","HIGH","HIGH","No","No","Yes","No","0","0","2","1","0","0","0","0"
"208","CA3610052","VICTORVILLE WATER DISTRICT","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,38282,124653,62396.19487,31.14991178,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","C","SWP","SW","Purchased",11.7332971782884,NA,NA,NA,NA,"No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"209","CA3610044","BIG BEAR LAKE DWP - BIG BEAR SYSTEM","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,15837,26067,67248.98496,20.57816672,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","GW","GW","Self-produced",10.1684637874523,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"210","CA1410510","LADWP - MANZANAR","Inyo","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,2,0,30248.54194,23.47280768,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","C","GW","GW","Self-produced",0,NA,NA,NA,NA,"No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"211","CA3610034","ONTARIO MUNICIPAL UTILITIES COMPANY","San Bernardino","DISTRICT 13 - SAN BERNARDINO","City",NA,"Yes","Yes","Full",NA,"Full",NA,39412,185010,84702.7856,44.084762,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",12.1281705617523,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"212","CA3710004","DEL MAR, CITY OF","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,1869,3929,197009.6741,5.374296077,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","SWP","SW","Purchased",8.27639470486331,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"213","CA3710006","ESCONDIDO, CITY OF","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,26959,137941,108256.4745,16.72449137,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",11.8345885859377,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"214","CA3710014","OCEANSIDE, CITY OF","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,44519,173048,99918.11949,17.97490674,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","C","SWP","SW","Purchased",12.0613300703701,NA,NA,NA,NA,"No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"215","CA3710020","SAN DIEGO, CITY OF","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,282245,1374790,111644.794,17.75378236,NA,NA,315276985,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",14.1338122775296,NA,NA,NA,NA,"Yes",NA,NA,"No","0","0","0","0","0","0","0","0"
"216","CA3710021","SAN DIEGUITO WD","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,12125,40103,148132.8719,10.65560222,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.5992313589433,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"217","CA3710015","POWAY, CITY OF","San Diego","DISTRICT 14 - SAN DIEGO","City",NA,"Yes","Yes","Full",NA,"Full",NA,14139,49779,153972.2484,9.836277014,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SW","SW","Self-produced",10.8153685759216,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"218","CA1910108","CITY OF BELL GARDENS","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,1653,11305,53040.78832,54.9741551,"Potentially At-Risk",1,5e+05,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","Yes","Yes","C","SWP","SW","Purchased",9.33308883723524,"HIGH","NONE","NONE","NONE","Yes",NA,NA,"No","1","1","0","0","0","0","0","0"
"219","CA1910040","EL SEGUNDO-CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,6228,16898,136406.5124,18.2989542,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",9.73500972756282,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"220","CA1910043","GLENDALE-CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,36011,188784,110937.5614,29.88089027,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",12.1483640803847,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"221","CA1910051","INGLEWOOD- CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,15942,80824,72114.069,43.2508843,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",11.3000416025936,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"222","CA1910062","LA VERNE, CITY WD","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,8819,32206,125093.5339,20.97638713,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.3799390992108,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"223","CA1910067","LOS ANGELES-CITY, DEPT. OF WATER & POWER","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,708607,3806272,100398.9369,33.48419129,NA,NA,697479677.4,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,"NONE","NONE",NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",15.152161053115,NA,NA,"NONE","NONE","Yes",NA,NA,"No","0","0","0","0","0","0","0","0"
"224","CA1900542","LOS ANGELES, CITY OF - POWER PLANT #2","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,17,44,59083.66209,10.10724966,"At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","SW","SW","Self-produced",3.80666248977032,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","0","0","1","1","2","1","1","1"
"225","CA1910191","NORWALK - CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,5398,17790,84449.19614,47.90530059,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",9.78644799043477,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"226","CA1910124","PASADENA WATER AND POWER","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,38338,161162,115600.8126,20.57979019,"At-Risk",NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",11.990171554173,NA,NA,NA,NA,"No","No","Yes","No","0","0","0","0","0","0","0","0"
"227","CA1910126","POMONA - CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,30172,151713,74399.82387,47.9982643,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",11.9297524484878,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"228","CA1910213","TORRANCE-CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,26916,106183,103849.6841,26.04964564,NA,NA,1.6e+07,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",11.572928717306,NA,NA,NA,NA,"Yes",NA,NA,"No","0","0","0","0","0","0","0","0"
"229","CA1910167","VERNON-CITY, WATER DEPT.","Los Angeles","DISTRICT 15 - METROPOLITAN","City",NA,"Yes","Yes","Full",NA,"Full",NA,1058,28000,66616.14478,54.7515825,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.2399955028053,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"230","CA1910007","AZUSA LIGHT AND WATER","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,23102,110044,85392.71252,35.53803985,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",11.6086446520288,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"231","CA1910018","BELLFLOWER MUNICIPAL WATER SYSTEM","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,1817,5999,96069.76987,39.04815548,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Yes","Yes","C","SWP","SW","Purchased",8.69951474821019,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"232","CA1910001","CITY OF ALHAMBRA","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,17735,83750,76821.64481,34.23500811,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",11.3356033899145,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","1","1"
"233","CA1910154","CITY OF SOUTH PASADENA","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,6410,25329,143768.8794,12.3809702,"Not At-Risk",0,11937930,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.1397447429957,"NONE","NONE","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","0","0","1","1"
"234","CA1910034","DOWNEY - CITY, WATER DEPT.","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,23489,109946,87354.60809,38.62738713,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","GW","GW","Self-produced",11.6077537104811,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"235","CA1910038","EL MONTE-CITY, WATER DEPT.","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,3528,22968,54895.59137,64.55697887,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",10.0419007596898,"HIGH","NONE","NONE","NONE","No","No","Yes","No","0","0","0","0","0","0","1","1"
"236","CA1910083","MANHATTAN BEACH-CITY, WATER DEPT.","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,13258,34668,165138.0244,7.808383902,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","SWP","SW","Purchased",10.4536011948826,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"237","CA1910143","SAN FERNANDO-CITY, WATER DEPT.","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,5350,23946,71304.10977,44.19918195,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","GW","GW","Self-produced",10.0835983340329,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"238","CA1910019","CERRITOS - CITY, WATER DEPT.","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,15750,49578,126733.0418,26.98816359,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.8113226359626,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"239","CA1910146","SANTA MONICA-CITY, WATER DIVISION","Los Angeles","DISTRICT 16 - CENTRAL","City",NA,"Yes","Yes","Full",NA,"Full",NA,17020,93076,111981.1361,26.30367818,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",11.4411823865573,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"240","CA4110002","CITY OF BRISBANE","San Mateo","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,1293,3390,161034.7998,28.04039545,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",NA,"HIGH","Yes","Yes","C","SWP","SW","Purchased",8.12888014212564,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"241","CA4110003","CITY OF BURLINGAME","San Mateo","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,8739,31447,145539.8496,14.51090907,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","SWP","SW","Purchased",10.3560906671017,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"242","CA4310018","CITY OF CUPERTINO","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,4627,16336,172521.9122,6.47853421,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","Yes","Yes","C","SWP","SW","Purchased",9.70118775302651,"NONE","NONE","NONE","NONE","No",NA,NA,"No","1","1","0","0","0","0","0","0"
"243","CA4110013","CITY OF DALY CITY","San Mateo","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,23428,108599,117319.4959,24.02180198,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",11.595426686482,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"244","CA4110024","CITY OF EAST PALO ALTO","San Mateo","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,3906,29519,108957.8803,36.81803698,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","Yes","Yes","C","SWP","SW","Purchased",10.2928232787144,"NONE","NONE","NONE","NONE","No",NA,NA,"No","1","1","0","0","0","0","0","0"
"245","CA4310004","CITY OF GILROY","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,15419,58108,124255.1277,25.63339906,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","Yes","Yes","C","GW","GW","Self-produced",10.970075836179,"NONE","NONE","NONE","NONE","No",NA,NA,"No","1","1","0","0","0","0","0","0"
"246","CA4310005","CITY OF MILPITAS","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,15696,77961,164686.6063,19.72955433,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","SWP","SW","Purchased",11.2639768074741,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"247","CA4310006","CITY OF MORGAN HILL","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,14867,47374,161509.7817,16.48733172,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","GW","GW","Self-produced",10.7658499423847,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"248","CA4310007","CITY OF MOUNTAIN VIEW","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,17823,81756,129458.7017,16.43000526,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",11.311506712005,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"249","CA4310009","CITY OF PALO ALTO","Santa Clara","DISTRICT 17 - SANTA CLARA","City",NA,"Yes","Yes","Full",NA,"Full",NA,19975,67901,131450.3775,7.409268334,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",11.125820768194,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
