PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,ancillary,public,enfranchisement,Variablecoded,enfranchisement_final,SERVICE_CONNECTIONS,POPULATION,MHI,CALENVIRO_SCREEN_SCORE,FINAL_SAFER_STATUS,PRIMARY_MCL_VIOLATION,SECONDARY_MCL_VIOLATION,E_COLI_VIOLATION,TREATMENT_TECHNIQUE_VIOLATION,MONITORING_AND_REPORTING_VIOLATION,WEIGHTED_WATER_QUALITY_SCORE,WEIGHTED_ACCESSIBILITY_SCORE,WEIGHTED_AFFORDABILITY_SCORE,WEIGHTED_TMF_CAPACITY_SCORE,FUNDING_RECEIVED_SINCE_2017,Total_risk,CURRENT_FAILING,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,EXTREME_WATER_BILL_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,Intend.to.apply.,Application.complete.,FundingYorN,Type,Primary.Source.Water.Type,Source,Purchased,LN_POP
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,10637,40856,138186.3688,20.04332358,Not At-Risk,NO,NO,NO,NO,NO,0.25,0,0.33,1,0,1.58,Not Failing,0,0,0.5,Yes,Yes,No,C,SWP,SW,Purchased,10.617833444237068
CA1910003,CITY OF ARCADIA,Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,14488,44738,113796.471,27.16968033,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.33,0,0.33,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,10.708600883430892
CA1910026,"COMPTON-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,14188,74877,54816.10062,74.36867631,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,11.223615401393062
CA1910047,HAWTHORNE-CITY WATER DEPT.,Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,6215,44729,58884.96672,40.89140497,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,10.708399696426893
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,5562,15275,46337.80664,50.64259886,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.67,236500,1.34,Not Failing,0,0,1,Yes,Yes,Yes,C,SWP,SW,Purchased,9.634038248345407
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,9238,66967,59174.36596,60.29500974,Not At-Risk,NO,NO,NO,NO,NO,1.5,0,0.67,0,0,2.17,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,11.111970172339893
CA1910090,"MONROVIA-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,9396,37787,110077.005,11.36583938,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0,0,0,Not Failing,0,0,0,Yes,Yes,No,C,GW,GW,Self-produced,10.539746870889026
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,1502,5300,64976.77913,53.32547771,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,1.33,0,2,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,8.575650760987806
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,6368,19219,79513.54205,43.52939773,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0,0,0,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,9.863706682524283
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,14392,76443,52952.2418,75.1077196,Potentially At-Risk,NO,NO,NO,NO,NO,1.5,0,0.67,0.33,0,2.5,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,11.244313725608873
CA1910050,"COMMERCE-CITY, WATER DEPT.",Los Angeles,DISTRICT 22 - ANGELES,City,NA,No,Yes,Full,NA,Full,952,4207,52192.22275,82.39390861,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,8.344742754417545
CA1010006,CITY OF FOWLER,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,2016,6700,57096.39706,55.2356431,Failing,YES,NO,NO,NO,NO,0.5,1,1,0.67,0,3.17,Failing,NA,NA,0.5,Yes,Yes,No,C,GW,GW,Self-produced,8.81001204797317
CA1010023,CITY OF ORANGE COVE,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,1705,9780,22669.8262,48.7278427,At-Risk,NO,NO,NO,NO,NO,1.5,2,1.67,0.33,2966000,5.5,Not Failing,1,0,1,Yes,Yes,Yes,C,SW,SW,Self-produced,9.188197007290492
CA1010025,CITY OF PARLIER,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,2688,14494,33889.58772,56.51227711,Failing,YES,NO,NO,NO,NO,2.5,1,0.67,0.33,14233850,4.5,Failing,0,0,1,Yes,Yes,Yes,C,GW,GW,Self-produced,9.581559041355757
CA1010029,CITY OF SANGER,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,6986,25664,52995.58074,35.53496049,At-Risk,NO,NO,NO,NO,NO,0,0.67,2,2,3949900,4.67,Not Failing,NA,NA,1,Yes,Yes,Yes,C,GW,GW,Self-produced,10.152883474994404
CA1010004,COALINGA-CITY,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,3881,17277,65267.43108,44.02365962,Potentially At-Risk,NO,NO,NO,NO,NO,0.25,1.33,0,0.83,0,2.41,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,9.75718929491883
CA1010005,FIREBAUGH CITY,Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,1642,7619,34340.20138,45.03398467,At-Risk,NO,NO,NO,NO,NO,2,1,0.67,0.67,0,4.34,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,8.938531648680692
CA1010044,"HURON, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,941,9306,28585.59283,40.05298171,Failing,YES,NO,NO,NO,NO,0.75,1.5,2,0,11310542,4.25,Failing,NA,NA,1,Yes,Yes,Yes,C,SW,SW,Self-produced,9.13852208418571
CA1010018,"KERMAN, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,3841,15282,61050.97869,42.2334706,Failing,YES,NO,NO,NO,NO,4,1,0.67,0.17,0,5.84,Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,9.634496378527837
CA1010019,"KINGSBURG, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,4027,12002,67788.92278,48.05199468,At-Risk,NO,NO,NO,NO,NO,0.5,1,2,0.67,0,4.17,Not Failing,1,1,1,Yes,Yes,No,C,GW,GW,Self-produced,9.3929118975253445
CA1010021,"MENDOTA, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,2312,11404,31545.40484,44.75633836,At-Risk,NO,NO,NO,NO,NO,0,1,2,0.33,2625158,3.33,Not Failing,1,1,1,Yes,Yes,Yes,C,GW,GW,Self-produced,9.341807134718488
CA1010027,"REEDLEY, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,5880,25917,60203.88998,47.73216564,Not At-Risk,NO,NO,NO,NO,NO,0.5,1,0.67,0.17,0,2.34,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,10.16269298699536
CA1010034,"SAN JOAQUIN, CITY OF",Fresno,DISTRICT 23 - FRESNO,City,NA,No,Yes,Full,NA,Full,730,4060,35638.05987,45.78755429,At-Risk,NO,NO,NO,NO,NO,1.75,1.17,1.08,0.67,961717.18,4.67,Not Failing,0.75,0,0.5,Yes,Yes,Yes,C,GW,GW,Self-produced,8.309184527686298
CA5410002,"DINUBA, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,6330,26731,47539.69456,49.68427247,At-Risk,NO,NO,NO,NO,NO,0.38,1,2,0.17,950000,3.55,Not Failing,NA,NA,1,Yes,Yes,Yes,C,GW,GW,Self-produced,10.193616628630961
CA5410003,"EXETER, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,3298,11169,59892.06192,41.39412954,At-Risk,NO,NO,NO,NO,NO,2.38,1,0.67,0.33,0,4.38,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,9.320986892063246
CA5410004,"FARMERSVILLE, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,2738,10397,45087.20918,44.72504455,Potentially At-Risk,NO,NO,NO,NO,NO,0,1,2,0,0,3,Not Failing,NA,NA,1,Yes,Yes,No,C,GW,GW,Self-produced,9.24936875894366
CA5410006,"LINDSAY, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,3085,12659,41865.67394,42.59483067,Failing,YES,NO,NO,YES,NO,1,1,0.67,1,500000,3.67,Failing,0,0,1,Yes,Yes,Yes,C,SW,SW,Self-produced,9.446202695698167
CA5410048,PORTERVILLE-JONES CORNER,Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,118,339,32083,60.26072785,Not At-Risk,NO,NO,NO,NO,NO,0.25,1,0.67,0,0,1.92,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,5.8289456176102075
CA5410010,"PORTERVILLE, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,15932,62988,48432.02057,28.9809399,Not At-Risk,NO,NO,NO,NO,NO,0,0.67,0.67,0,36323292.02,1.34,Not Failing,0,0,1,Yes,Yes,Yes,C,GW,GW,Self-produced,11.050715386954158
CA5410015,"TULARE, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,20059,70733,57929.20402,36.49547086,Potentially At-Risk,NO,NO,NO,NO,NO,0.88,0.67,0.67,0.33,4268715.76,2.55,Not Failing,0,0,1,Yes,Yes,Yes,C,GW,GW,Self-produced,11.166681641520183
CA5410020,"WOODLAKE, CITY OF",Tulare,DISTRICT 24 - TULARE,City,NA,No,Yes,Full,NA,Full,1976,7950,33455.85911,38.63005221,Not At-Risk,NO,NO,NO,NO,NO,0.5,1,0.67,0,0,2.17,Not Failing,0,0,1,Yes,No,No,C,GW,GW,Self-produced,8.981052985901483
CA1310001,"BRAWLEY, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,5912,26928,56460.89636,49.06815463,At-Risk,NO,NO,NO,NO,NO,1.75,1,0.67,0,0,3.42,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,10.200959051807608
CA1310002,"CALEXICO, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,8576,40357,56030.45343,44.6508674,Not At-Risk,NO,NO,NO,NO,NO,0.5,1,0.67,0.17,0,2.34,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,10.60554491922583
CA1310004,"EL CENTRO, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,10260,44322,48613.92918,34.49100484,At-Risk,NO,NO,NO,NO,NO,2,0,0.67,0.67,0,3.34,Not Failing,0,0,1,Yes,No,No,C,SWP,SW,Purchased,10.699259008661018
CA1310005,"HOLTVILLE, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,1624,6355,56194.06214,35.15636771,Failing,NO,YES,NO,NO,NO,0.5,1,0,0.33,4432267,1.83,Failing,NA,NA,0,No,No,Yes,C,SWP,SW,Purchased,8.757154527656606
CA1310006,"IMPERIAL, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,6454,19929,77445.82393,40.50995238,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0,0,1,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,9.89998141320684
CA1310008,"WESTMORLAND, CITY OF",Imperial,DISTRICT 26 - IMPERIAL,City,NA,No,Yes,Full,NA,Full,503,2202,27543.70754,50.98933202,Potentially At-Risk,NO,NO,NO,NO,NO,0,1,1.42,0.17,499144.52,2.59,Not Failing,0.75,0,1,No,No,Yes,C,SWP,SW,Purchased,7.697575346802343
CA1410001,"BISHOP, CITY OF",Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,1161,3879,58593.96154,10.62116256,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0.33,0,0.66,Not Failing,0,0,0,Yes,No,No,C,GW,GW,Self-produced,8.263590432617319
CA3610036,"CHINO HILLS, CITY OF",San Bernardino,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,21629,82661,130856.0104,18.94928737,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0,0,0,Not Failing,NA,NA,0,Yes,Yes,No,C,SWP,SW,Purchased,11.322515283272654
CA3610014,"COLTON, CITY OF",San Bernardino,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,10252,46525,63896.55488,66.69267881,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.33,0,1,Not Failing,0,0,1,Yes,No,No,C,GW,GW,Self-produced,10.74776657509999
CA3610024,HESPERIA WD,San Bernardino,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,27376,97846,63446.01458,25.89483893,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.33,0,1,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,11.491160313182018
CA1410004,LADWP - BIG PINE,Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,2,0,39817.48139,10.62116256,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Did not complete survey,No,No,C,GW,GW,Self-produced,0
CA1410002,LADWP - INDEPENDENCE,Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,2,0,41806,16.5189188,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Did not complete survey,No,No,C,GW,GW,Self-produced,0
CA1410003,LADWP - LONE PINE,Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,2,0,21523.83262,23.55490275,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Did not complete survey,No,No,C,GW,GW,Self-produced,0
CA1400099,MOUNTAIN VIEW TRAILER COURT,Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,24,51099,33982.70969,23.55490275,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.67,0,2.33,Not Failing,0,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,10.841539776191796
CA3610039,SAN BERNARDINO CITY,San Bernardino,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,43088,204870,66945.22026,36.74823003,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,8572967,NA,Not Failing,NA,NA,NA,Yes,Yes,Yes,C,GU,GW,Self-produced,12.230135791755472
CA3610050,"UPLAND, CITY OF",San Bernardino,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,18235,78891,94203.3514,38.18464334,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0.33,16500000,0.66,Not Failing,0,0,0.5,Did not complete survey,No,Yes,C,SW,SW,Self-produced,11.275835107523394
CA3600283,DEPARTMENT OF WATER AND POWER,San Bernardino,LPA66 - SAN BERNARDINO COUNTY,City,NA,No,Yes,Full,NA,Full,125,322,34760,12.32529144,Potentially At-Risk,NO,NO,NO,NO,NO,0.5,0.33,0.67,1,0,2.5,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,5.777652323222656
CA3810008,THOMAS SHAFT WHOLESALE,San Joaquin,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,2,1,216583,27.95971956,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,0.6931471805599453
CA4810015,TRAVIS AFB WTP - VALLEJO,Solano,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,1,3,53806,42.35265764,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Did not complete survey,No,No,C,SW,SW,Self-produced,1.3862943611198906
CA1400155,CONTROL GORGE POWER PLANT,Inyo,DISTRICT 27 - MOJAVE,City,NA,No,Yes,Full,NA,Full,12,32,51500,15.06362095,At-Risk,NO,NO,NO,NO,NO,2.5,1.33,0,0.67,0,4.5,Not Failing,0,0,0,Did not complete survey,No,No,C,GU,GW,Self-produced,3.4965075614664802
CA3810702,TREASURE ISLAND,San Francisco,DISTRICT 04 - SAN FRANCISCO,City,NA,No,Yes,Full,NA,Full,172,3790,75577,50.62990077,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.67,0.33,0,2,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,8.240385115516334
CA3310082,NORTH PERRIS WATER SYSTEM,Riverside,DISTRICT 20 - RIVERSIDE,City,NA,No,Yes,Full,NA,Full,1389,4500,76577.78474,19.13142641,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.67,0,1.34,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,8.412054873292933
CA5403043,YETTEM WATER SYSTEM,Tulare,DISTRICT 24 - TULARE,Community Services District,NA,No,Yes,Full,NA,Full,66,350,30673,47.26325106,At-Risk,NO,NO,NO,NO,NO,1.5,1,1.33,1.17,8815.93,5,Not Failing,1,0,0.5,Yes,Yes,Yes,C,GW,GW,Self-produced,5.860786223465865
CA0810003,BERTSCH OCEAN VIEW CSD,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,705,2489,49731.02886,29.43539031,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0.33,0,1.66,Not Failing,0,0,0.5,Yes,Yes,No,C,GWP,GW,Purchased,7.820037989458753
CA1200592,BIG LAGOON CSD,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,42,112,22250,10.99230037,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,1.67,0,0,2.17,Not Failing,1,0,1,No,No,No,C,GW,GW,Self-produced,4.727387818712341
CA0800532,BIG ROCK C.S.D.,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,109,650,92625,19.71337778,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0,0,1112781,1.33,Not Failing,0,0,0,No,No,Yes,C,GW,GW,Self-produced,6.478509642208569
CA1200587,BRICELAND C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,27,75,55698,17.50932946,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.67,0,0,2,Not Failing,0,0,1,No,No,No,C,SW,SW,Self-produced,4.330733340286331
CA1210020,FIELDBROOK GLENDALE C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,559,1845,66583.0518,15.15747726,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0,0,1,Not Failing,0,0,0,Yes,Yes,No,C,GWP,GW,Purchased,7.520776415062797
CA0800555,GASQUET C.S.D.,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,228,785,37240,19.71337778,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.33,0,1.99,Not Failing,0,0,0.5,No,No,No,C,SW,SW,Self-produced,6.666956792429207
CA4710012,HAPPY CAMP C.S.D.,Siskiyou,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,454,1100,31117.21948,16.40116305,At-Risk,NO,NO,NO,NO,NO,0,1.33,2,0.33,1593000,3.66,Not Failing,1,1,1,No,No,Yes,C,SW,SW,Self-produced,7.00397413672268
CA4700513,HORNBROOK C.S.D.,Siskiyou,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,147,280,36964,16.30580436,At-Risk,NO,NO,NO,NO,NO,0,2,1,1.33,0,4.33,Not Failing,NA,NA,0.5,Yes,Yes,No,C,GW,GW,Self-produced,5.638354669333745
CA0800556,HRC C.S.D.,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,54,150,85125,19.71337778,Not At-Risk,NO,NO,NO,NO,NO,0,2,0,0.33,0,2.33,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,5.017279836814924
CA1210009,HUMBOLDT C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,7836,19485,64931.11527,27.42784837,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,0,0.33,Not Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,9.877451537985287
CA0800557,HUNTER VALLEY CSD,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,64,96,33360,14.77991565,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0.33,0,0,1.83,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,4.574710978503383
CA1210021,JACOBY CREEK CSD,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,331,913,56857.89225,10.33397389,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0,0,1.33,Not Failing,0,0,0.5,Yes,Yes,No,C,GWP,GW,Purchased,6.81783057145415
CA0800548,KLAMATH C.S.D.,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,61,360,33360,14.77991565,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,5.8888779583328805
CA4710013,LAKE SHASTINA C.S.D,Siskiyou,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,1293,2790,62355.93133,25.60578175,Not At-Risk,NO,NO,NO,NO,NO,0.75,0.33,0,0,500000,1.08,Not Failing,NA,NA,0,No,No,Yes,C,GW,GW,Self-produced,7.934155233536322
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Trinity,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,235,701,39096.35899,8.764224114,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1.33,0,5303415.74,1.66,Not Failing,1,1,0,No,No,Yes,C,SW,SW,Self-produced,6.553933404025811
CA1210023,LOLETA C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,302,937,55658,24.48635511,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0,0,1.66,Not Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,6.843749949006225
CA1210017,MANILA COMMUNITY SERVICES DIST.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,362,750,48854,31.20642237,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0.33,3895951,1.66,Not Failing,0,0,0.5,Yes,Yes,Yes,C,GWP,GW,Purchased,6.621405651764134
CA4710006,MCCLOUD C.S.D.,Siskiyou,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,733,1317,35103.16941,19.51357859,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.75,0.17,0,1.92,Not Failing,0.75,0,0,Yes,Yes,No,C,GW,GW,Self-produced,7.183870715062453
CA1210016,MCKINLEYVILLE C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,6127,16900,62007.63981,31.20642237,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0,0,1.33,Not Failing,0,0,0.5,Yes,Yes,No,C,GWP,GW,Purchased,9.735128070758227
CA1200707,MIRANDA C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,149,492,33491,16.46463183,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.67,0,1.67,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,6.20050917404269
CA1200701,ORICK C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,144,450,22250,10.99230037,At-Risk,NO,NO,NO,NO,NO,0,1,1.67,0.67,0,3.34,Not Failing,1,0,1,Yes,Yes,No,C,GW,GW,Self-produced,6.111467339502679
CA1200729,ORLEANS C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,167,636,NA,NA,At-Risk,NO,NO,NO,NO,NO,2,1.33,1,0,894700,4.33,Not Failing,NA,NA,0.5,Yes,Yes,Yes,C,SW,SW,Self-produced,6.456769655572163
CA1206004,PALMER CREEK CSD,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,132,320,53295,24.48635511,Potentially At-Risk,NO,NO,NO,NO,NO,0,1.33,1.08,0,0,2.41,Not Failing,0.75,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,5.771441123130016
CA1200541,PHILLIPSVILLE C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,66,300,33491,16.46463183,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,1.42,0,0,2,Not Failing,0.75,0,1,No,No,No,C,GW,GW,Self-produced,5.707110264748875
CA1210011,REDWAY C.S.D.,Humboldt,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,569,1207,65072.08878,16.46463183,Not At-Risk,NO,NO,NO,NO,NO,0,2,0,0.33,0,2.33,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,7.0967213784947605
CA0800526,REDWOOD PARK C.S.D.,Del Norte,DISTRICT 01 - KLAMATH,Community Services District,NA,No,Yes,Full,NA,Full,44,200,33360,14.77991565,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,5.303304908059076
