"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","ancillary","public","enfranchisement","Variablecoded","enfranchisement_final","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","WEIGHTED_WATER_QUALITY_SCORE","WEIGHTED_ACCESSIBILITY_SCORE","WEIGHTED_AFFORDABILITY_SCORE","WEIGHTED_TMF_CAPACITY_SCORE","FUNDING_RECEIVED_SINCE_2017","Total_risk","CURRENT_FAILING","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","EXTREME_WATER_BILL_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","Intend.to.apply.","Application.complete.","FundingYorN","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP"
"385","CA4510016","CLEAR CREEK CSD-ANDERSON","Shasta","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",2369,8900,62145.95054,19.09255422,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SW","SW","Self-produced",9.09391890895893
"386","CA1800512","CLEAR CREEK CSD-WESTWOOD","Lassen","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",166,400,39742.49642,17.61810918,"Potentially At-Risk","NO","NO","NO","NO","NO",0,2,0.33,0.17,0,2.5,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","GW","GW","Self-produced",5.99396142730657
"387","CA4510008","FALL RIVER VALLEY CSD","Shasta","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",482,1535,39951,18.51000782,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.08,0,180363,1.41,"Not Failing",0.75,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.33693691370762
"388","CA3200107","GRIZZLY LAKE CSD-CROCKER/WELCH","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",73,215,NA,NA,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,1.33,0,1.33,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",5.37527840768417
"389","CA3200104","GRIZZLY LAKE CSD-DELLEKER","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",351,1314,48450,19.68524602,"Failing","YES","NO","NO","NO","NO",2,0.33,0,0,5e+05,2.33,"Failing",0,0,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.18159194461187
"390","CA3200104","GRIZZLY LAKE CSD-DELLEKER","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",351,1314,48450,19.68524602,"Failing","YES","NO","NO","NO","NO",2,0.33,0,0,5e+05,2.33,"Failing",0,0,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.18159194461187
"391","CA3210010","HAMILTON BRANCH CSD","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",529,1874,54524,17.48422057,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0.17,0,1.5,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",7.53636393840451
"392","CA3200510","IVCSD CRESCENT MILLS","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",78,258,34350,22.86116402,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.5,1.42,0.17,124000,2.34,"Not Failing",0.75,0,1,"Did not complete survey","No","Yes","C","GW","GW","Self-produced",5.55682806169954
"393","CA3210001","IVCSD-GREENVILLE","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",274,630,40663.05886,22.86116402,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,1.08,0.17,280000,1.83,"Not Failing",0.75,0,0.5,"Did not complete survey","No","Yes","C","GW","GW","Self-produced",6.44730586254121
"394","CA1800516","LITTLE VALLEY CSD","Lassen","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",44,70,38000,12.55569728,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0.33,0,1.66,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",4.26267987704132
"395","CA4510002","MOUNTAIN GATE C.S.D.","Shasta","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",663,2227,52690.99152,12.97463105,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,1,5e+05,2,"Not Failing",0,0,1,"Yes","Yes","Yes","C","SW","SW","Self-produced",7.70885960104718
"396","CA3110028","NORTHSTAR C.S.D.","Placer","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",940,15402,180623.7368,7.99332628,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","SW","SW","Self-produced",9.64231757462446
"397","CA3210011","PLUMAS EUREKA CSD","Plumas","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",548,1534,63147.59834,9.03234027,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,350000,0.33,"Not Failing",0,0,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.3362856600213
"398","CA1810002","WESTWOOD C.S.D.","Lassen","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",949,1662,44622.90141,17.61810918,"Not At-Risk","NO","NO","NO","NO","NO",0,2,0,0,0,2,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",7.41637847919293
"399","CA1810004","LEAVITT LAKE CSD","Lassen","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",259,950,61827,13.22958601,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.33,0,0,0.66,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.85751406254539
"400","CA3110051","NORTHSTAR CSD - MARTIS VALLEY","Placer","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",1163,3987,161608.8693,7.99332628,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",8.29104513108173
"401","CA4510013","SHASTA C.S.D.","Shasta","DISTRICT 02 - LASSEN","Community Services District",NA,"No","Yes","Full",NA,"Full",671,1584,78088.73665,16.62096637,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0,0,8105000,1.33,"Not Failing",0,0,0,"Yes","Yes","Yes","C","SW","SW","Self-produced",7.36833968631138
"402","CA1700502","ANDERSON SPRINGS CSD","Lake","DISTRICT 03 - MENDOCINO","Community Services District",NA,"No","Yes","Full",NA,"Full",227,373,NA,NA,"At-Risk","NO","NO","NO","NO","NO",0,2,1.17,0.67,0,3.84,"Not Failing",1,0.5,0,"Yes","Yes","No","C","GW","GW","Self-produced",5.92425579741453
"403","CA2310009","BROOKTRAILS TOWNSHIP CSD","Mendocino","DISTRICT 03 - MENDOCINO","Community Services District",NA,"No","Yes","Full",NA,"Full",1554,3632,69375.52146,27.8453648,"At-Risk","NO","NO","NO","NO","NO",0.25,1.33,2,0.67,0,4.25,"Not Failing",1,1,1,"Yes","Yes","No","C","SW","SW","Self-produced",8.1978140322212
"404","CA1710015","HIDDEN VALLEY LAKE CSD","Lake","DISTRICT 03 - MENDOCINO","Community Services District",NA,"No","Yes","Full",NA,"Full",2508,6235,76108.45565,15.71503619,"Potentially At-Risk","NO","NO","NO","NO","NO",1.25,1.33,0.33,0.17,0,3.08,"Not Failing",0,0,0.5,"Yes","No","No","C","GW","GW","Self-produced",8.73809423017767
"405","CA0710009","TOWN OF DISCOVERY BAY","Contra Costa","DISTRICT 04 - SAN FRANCISCO","Community Services District",NA,"No","Yes","Full",NA,"Full",6161,16790,135074.323,23.06740084,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0.5,0,1.08,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",9.72859830755947
"406","CA0110009","DUBLIN SAN RAMON SERVICES DISTRICT","Alameda","DISTRICT 04 - SAN FRANCISCO","Community Services District",NA,"No","Yes","Full",NA,"Full",24835,94053,193014.9615,5.543740891,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0.33,0,0.33,"Not Failing",0,0,0,"Yes","No","No","C","SWP","SW","Purchased",11.4516243643936
"407","CA4810013","RURAL NORTH VACAVILLE WATER DISTRICT","Solano","DISTRICT 04 - SAN FRANCISCO","Community Services District",NA,"No","Yes","Full",NA,"Full",398,1313,110075.7663,18.1328675,"Potentially At-Risk","NO","NO","NO","NO","NO",2,0.33,0.17,0,0,2.5,"Not Failing",0,0.5,0,"No","No","No","C","GW","GW","Self-produced",7.18083119904456
"408","CA2710005","CASTROVILLE COMMUNITY SERVICES DISTRICT","Monterey","DISTRICT 05 - MONTEREY","Community Services District",NA,"No","Yes","Full",NA,"Full",1973,6897,59044.40369,21.32859745,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.33,0.17,0,1.5,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",8.83898679349679
"409","CA2710020","PAJARO COMMUNITY SERVICES DISTRICT","Monterey","DISTRICT 05 - MONTEREY","Community Services District",NA,"No","Yes","Full",NA,"Full",462,6500,69123.69342,38.06597248,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.33,0.33,0,1.66,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",8.77971129020447
"410","CA2700773","SUNNY MESA WATER SYSTEM","Monterey","DISTRICT 05 - MONTEREY","Community Services District",NA,"No","Yes","Full",NA,"Full",267,880,68787.42763,38.06597248,"At-Risk","NO","NO","NO","NO","NO",3.25,1,0.67,0,0,4.92,"Not Failing",0,0,1,"No","No","No","C","GW","GW","Self-produced",6.78105762593618
"411","CA4010014","CAMBRIA COMM SERVICES DIST","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",4034,6032,73392.69409,9.797980209,"Not At-Risk","NO","NO","NO","NO","NO",0.5,1.33,0.33,0,0,2.16,"Not Failing",0,0,0.5,"Yes","No","No","C","GU","GW","Self-produced",8.70499967844076
"412","CA4210009","CUYAMA COMMUNITY SERVICES DISTRICT","Santa Barbara","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",254,700,47434,22.28190194,"At-Risk","NO","NO","NO","NO","NO",1.5,2,1.08,0,975000,4.58,"Not Failing",0.75,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",6.55250788703459
"413","CA4010012","HERITAGE RANCH CSD","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",1942,2981,70022.77428,8.956389705,"Failing","YES","NO","NO","NO","NO",0.75,1.33,0.33,0.33,0,2.74,"Failing",0,0,0.5,"Yes","No","No","C","SW","SW","Self-produced",8.00034949532468
"414","CA4210002","LOS ALAMOS COMMUNITY SERVICES DISTRICT","Santa Barbara","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",613,1634,70766.21016,19.47998392,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",7.39939808333135
"415","CA4010016","LOS OSOS COMMUNITY SERVICES DISTRICT","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",2771,7086,68583.97539,7.287595023,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,0.33,0,0,1.66,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",8.86601739881026
"416","CA4210019","MISSION HILLS CSD","Santa Barbara","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",1313,3600,105088.2657,19.47998392,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0,0,0.58,"Not Failing",0,0,0,"Yes","No","No","C","GW","GW","Self-produced",8.18896686364888
"417","CA4010026","NIPOMO COMM SERVICES DIST","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",4491,13771,78379.1318,27.27332479,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0,0,0,0,"Not Failing",0,0,0,"Yes","Yes","No","C","SWP","SW","Purchased",9.53039282445841
"418","CA4010005","OCEANO COMM SERVICES DIST.","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",2217,7487,58305.68237,9.81249068,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0,0,0.33,"Not Failing",0,0,0.5,"Yes","Yes","No","C","SWP","SW","Purchased",8.92105701815743
"419","CA4010010","SAN MIGUEL COMMUNITY SERVICES DISTRICT","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",924,2600,71151.61694,21.55850966,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.67,0.33,0,2,"Not Failing",0,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",7.86365126544865
"420","CA4000568","SAN SIMEON CSD","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",206,462,55453,9.797980209,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,1.17,0,0,1.5,"Not Failing",1,0.5,0,"Yes","No","No","C","GW","GW","Self-produced",6.13772705408623
"421","CA4010019","TEMPLETON CSD","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",2953,7616,100102.9204,6.63750129,"Not At-Risk","NO","NO","NO","NO","NO",0.42,0,0,0.67,0,1.09,"Not Failing",0,0,0,"Yes","No","No","C","GW","GW","Self-produced",8.93813787037279
"422","CA4210017","VANDENBERG VILLAGE COMM. SERV. DIST.","Santa Barbara","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",2585,7308,85022.45942,15.67117523,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0.33,0,0.91,"Not Failing",0,0,0,"Yes","Yes","No","C","GW","GW","Self-produced",8.89686174448039
"423","CA4000222","AVILA BEACH COMMUNITY SERVICES DISTRICT","San Luis Obispo","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",388,1630,75115.53234,13.81817498,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0,0,0,1,"Not Failing",0,0,0,"Did not complete survey","No","No","C","SWP","SW","Purchased",7.39694860262101
"424","CA5610039","CHANNEL ISLANDS BEACH CSD","Ventura","DISTRICT 06 - SANTA BARBARA","Community Services District",NA,"No","Yes","Full",NA,"Full",1866,5400,58984.03634,21.15637957,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.33,0.17,0,0.5,"Not Failing",0,0,0.5,"Yes","Yes","No","C","SWP","SW","Purchased",8.59433940059289
"425","CA5710007","ESPARTO C.S.D.","Yolo","DISTRICT 09 - SACRAMENTO","Community Services District",NA,"No","Yes","Full",NA,"Full",1007,3112,80000.80379,14.05674658,"Not At-Risk","NO","NO","NO","NO","NO",1.13,0.33,0.33,0,0,1.79,"Not Failing",0,0,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",8.04334217044161
"426","CA0910006","GRIZZLY FLATS COMMUNITY SERVIC","El Dorado","DISTRICT 09 - SACRAMENTO","Community Services District",NA,"No","Yes","Full",NA,"Full",624,560,62890.36134,9.618286504,"At-Risk","NO","NO","NO","NO","NO",0,2.33,0.33,1,0,3.66,"Not Failing",0,0,0.5,"Yes","Yes","No","C","SW","SW","Self-produced",6.3297209055227
"427","CA5710004","KNIGHTS LANDING SVC. DIST.","Yolo","DISTRICT 09 - SACRAMENTO","Community Services District",NA,"No","Yes","Full",NA,"Full",300,1300,33627.3704,29.95009308,"Potentially At-Risk","NO","NO","NO","NO","NO",0.38,0.33,1.33,0.67,473000,2.71,"Not Failing",1,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.1708884785125
"428","CA3410005","RANCHO MURIETA COMMUNITY SERVI","Sacramento","DISTRICT 09 - SACRAMENTO","Community Services District",NA,"No","Yes","Full",NA,"Full",2799,5744,107553.3985,20.64644462,"Not At-Risk","NO","NO","NO","NO","NO",0.25,1.33,0,0,0,1.58,"Not Failing",0,0,0,"Did not complete survey","No","No","C","SW","SW","Self-produced",8.65608519028286
"429","CA3410021","SAN JUAN WATER DISTRICT","Sacramento","DISTRICT 09 - SACRAMENTO","Community Services District",NA,"No","Yes","Full",NA,"Full",10713,28687,131280.449,4.867523551,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,23120621,NA,"Not Failing",NA,NA,NA,"Yes","Yes","Yes","C","SW","SW","Self-produced",10.2642341958449
"430","CA5010021","DENAIR COMMUNITY SERVICES DISTRICT","Stanislaus","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",1709,5282,89423.81668,31.03928871,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",8.57224939716431
"431","CA0300019","FIDDLETOWN COMMUNITY SERVICE","Amador","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",66,100,34443.71613,18.4476416,"Not At-Risk","NO","NO","NO","NO","NO",0,1.33,1,0,0,2.33,"Not Failing",1,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.61512051684126
"432","CA5010009","KEYES COMMUNITY SERVICES DIST.","Stanislaus","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",1370,5697,44721.473,30.01728421,"Failing","YES","NO","NO","NO","NO",2.5,0.33,0.33,1,26071052,4.16,"Failing",0,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",8.64787051505785
"433","CA3910008","LOCKEFORD COMMUNITY SERV. DIST.","San Joaquin","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",844,2500,81386.34158,22.38677747,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.33,0,0,1.33,"Not Failing",0,0,0.5,"No","No","No","C","GW","GW","Self-produced",7.82444593087762
"434","CA3910027","MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","San Joaquin","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",7001,23146,146993.923,29.48256903,"Not At-Risk","NO","NO","NO","NO","NO",0.25,1.33,0,0.33,0,1.91,"Not Failing",0,0,0,"No","No","No","C","SW","SW","Self-produced",10.0496204614841
"435","CA0310005","PINE GROVE COMM SERV DIST","Amador","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",393,907,77067.65954,19.63359158,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.33,0,2064045,1.33,"Not Failing",0,0,0.5,"Yes","Yes","Yes","C","SWP","SW","Purchased",6.81124437860129
"436","CA0300016","VOLCANO COMMUNITY SERVICE DIST","Amador","DISTRICT 10 - STOCKTON","Community Services District",NA,"No","Yes","Full",NA,"Full",80,160,63365,11.88807013,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,0,0.67,0,1.25,"Not Failing",NA,NA,0,"Did not complete survey","No","No","C","GU","GW","Self-produced",5.08140436498446
"437","CA2400167","BALLICO CSD","Merced","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",73,238,55000,55.13608797,"Failing","YES","NO","NO","NO","NO",2,1.5,0.33,0,455000,3.83,"Failing",0,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",5.47646355193151
"438","CA5510009","GROVELAND COMMUNITY SERV DIST","Tuolumne","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",3255,3400,70448.69627,12.82832935,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,5135423.76,0.33,"Not Failing",0,0,0,"Yes","No","Yes","C","SW","SW","Self-produced",8.1318247850072
"439","CA5510008","LAKE DON PEDRO CSD","Tuolumne","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",1516,3240,61856.32406,15.77078947,"Not At-Risk","NO","NO","NO","NO","NO",0.38,0.33,0,0,0,0.71,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",8.08363720314155
"440","CA2410011","LE GRAND COMM SERVICES DIST","Merced","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",509,1592,57613.6629,45.1492929,"Failing","YES","NO","NO","NO","NO",2.38,1,1,0.33,0,4.71,"Failing",NA,NA,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",7.37337430991005
"441","CA2410007","PLANADA CSD","Merced","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",1118,4500,36922,39.06207164,"Not At-Risk","NO","NO","NO","NO","NO",0.25,1.67,0.33,0,675000,2.25,"Not Failing",0,0,0.5,"Yes","Yes","Yes","C","GW","GW","Self-produced",8.41205487329293
"442","CA5510005","TWAIN HARTE COMMUNITY SERVICES DISTRICT","Tuolumne","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",1586,2378,74763.10774,11.77977253,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0,0,499053,1,"Not Failing",0,0,0,"Yes","No","Yes","C","SW","SW","Self-produced",7.77443551030296
"443","CA2400201","VOLTA COMMUNITY SD","Merced","DISTRICT 11 - MERCED","Community Services District",NA,"No","Yes","Full",NA,"Full",44,156,37850,47.78757446,"At-Risk","NO","NO","NO","NO","NO",1.5,2.67,0,0.83,626202.4,5,"Not Failing",0,0,0,"Yes","Yes","Yes","C","GW","GW","Self-produced",5.05624580534831
"444","CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","Tulare","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",394,867,31500,54.72921015,"At-Risk","NO","NO","NO","NO","NO",2.38,2.17,2,0.67,4301719,7.22,"Not Failing",NA,NA,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",6.76619171466035
"445","CA1610001","ARMONA COMMUNITY SERVICES DIST","Kings","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",1249,4143,56568.58245,52.52340703,"Potentially At-Risk","NO","NO","NO","NO","NO",0.42,1.67,1.08,0,12071656.86,3.17,"Not Failing",0.75,0,0.5,"Yes","No","Yes","C","GW","GW","Self-produced",8.32941678393932
"446","CA1510001","ARVIN COMMUNITY SERVICES DIST","Kern","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",4178,19895,36225.77047,40.12308145,"At-Risk","NO","NO","NO","NO","NO",2.5,1,1.42,0,15092977,4.92,"Not Failing",0.75,0,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",9.89827398548324
"447","CA1510006","EAST NILES CSD","Kern","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",8086,32517,55897.49614,40.70744864,"Failing","YES","NO","NO","YES","NO",NA,NA,NA,NA,0,NA,"Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",10.3895490611555
"448","CA1610007","HOME GARDEN CSD","Kings","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",467,1750,29693.15146,69.60087004,"Failing","NO","NO","NO","NO","YES",2.5,1.67,1.33,0.83,0,6.33,"Failing",1,0,0.5,"No","No","No","C","GW","GW","Self-produced",7.46794233228585
"449","CA1610009","KETTLEMAN CITY CSD","Kings","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",304,1136,27000,53.97287951,"Failing","YES","NO","NO","NO","NO",0.88,2,1.08,0,4269074,3.96,"Failing",0.75,0,0.5,"Yes","Yes","Yes","C","SW","SW","Self-produced",7.03614849375054
"450","CA5410017","LONDON COMMUNITY SERV DIST","Tulare","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",312,2138,30870.19168,62.66442099,"Failing","YES","NO","NO","NO","NO",2.25,1.17,1.42,0.33,4974655,5.17,"Failing",0.75,0,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.66809370908241
"451","CA5410026","POPLAR COMM SERVICE DIST","Tulare","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",597,2200,32516.3976,60.26072785,"Not At-Risk","NO","NO","NO","NO","NO",0,1,0.67,0.67,0,2.34,"Not Failing",0,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",7.69666708152646
"452","CA5410024","RICHGROVE COMMUNITY SERVICES DISTRICT","Tulare","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",525,1617,21137.19512,55.30997196,"Failing","YES","NO","NO","NO","NO",2.5,2.17,1.42,0,11966330,6.09,"Failing",0.75,0,1,"Yes","Yes","Yes","C","GW","GW","Self-produced",7.38894609761844
"453","CA5410014","TIPTON COMMUNITY SERVICES DIST","Tulare","DISTRICT 12 - VISALIA","Community Services District",NA,"No","Yes","Full",NA,"Full",601,2543,28626.70904,54.61919778,"Failing","YES","NO","NO","NO","NO",2.25,1.17,0.67,1,0,5.09,"Failing",0,0,1,"Yes","Yes","No","C","GW","GW","Self-produced",7.84149292446001
"454","CA1400098","DARWIN COMMUNITY SERVICE DISTRICT","Inyo","DISTRICT 13 - SAN BERNARDINO","Community Services District",NA,"No","Yes","Full",NA,"Full",63,40,48466,23.55490275,"Failing","NO","NO","NO","YES","NO",1,1.33,0,0,0,2.33,"Failing",0,0,0,"No","No","No","C","GU","GW","Self-produced",3.71357206670431
"455","CA1400007","SIERRA HIGHLAND CSD","Inyo","DISTRICT 13 - SAN BERNARDINO","Community Services District",NA,"No","Yes","Full",NA,"Full",215,600,97949.64299,7.545935143,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0.33,0,0.66,"Not Failing",0,0,0,"No","No","No","C","GW","GW","Self-produced",6.39859493453521
"456","CA3610008","BIG BEAR CITY CSD","San Bernardino","DISTRICT 13 - SAN BERNARDINO","Community Services District",NA,"No","Yes","Full",NA,"Full",6164,12738,53910.8227,12.32529144,"Not At-Risk","NO","NO","NO","NO","NO",0,0,0.67,0,2500000,0.67,"Not Failing",0,0,1,"Yes","Yes","Yes","C","GU","GW","Self-produced",9.45242343310979
"457","CA1410005","INDIAN CREEK CSD","Inyo","DISTRICT 13 - SAN BERNARDINO","Community Services District",NA,"No","Yes","Full",NA,"Full",305,1030,63547.13246,7.545935143,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0,0,0.33,"Not Failing",0,0,0,"Did not complete survey","No","No","C","GW","GW","Self-produced",6.93828448401696
"458","CA3610005","LAKE ARROWHEAD CSD","San Bernardino","DISTRICT 13 - SAN BERNARDINO","Community Services District",NA,"No","Yes","Full",NA,"Full",7933,7008,86106.67344,14.04627157,"Not At-Risk","NO","NO","NO","NO","NO",1.5,0,0.33,0.17,0,2,"Not Failing",0,0,0.5,"Yes","Yes","No","C","SW","SW","Self-produced",8.85495031650033
