PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Primacy_agency_SWRCB email,SAFER_REGULATOR,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes_last_updated,Weird_case,Activemarch29?,SAFER_status_2023
CA4510015,DEL ORO WATER CO.-JOHNSON PARK,Shasta,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,B- Del Oro,,,,DEL ORO WATER CO.-JOHNSON PARK,Not At-Risk
CA3110015,FULTON WATER COMPANY,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,C,,,,FULTON WATER COMPANY,Not At-Risk
CA3210005,GRAEAGLE WATER COMPANY,Plumas,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,C,,,,GRAEAGLE WATER COMPANY,Not At-Risk
CA4600017,R.R. LEWIS SMALL WC,Sierra,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,D,,,,R.R. LEWIS SMALL WC,Not At-Risk
CA4600056,"SIERRA CITY WATER WORKS, INC.",Sierra,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,D,,,,"SIERRA CITY WATER WORKS, INC.",Not At-Risk
CA1800503,SUSAN RIVER PARK WATER CO.,Lassen,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,D,,,,SUSAN RIVER PARK WATER CO.,Not At-Risk
CA3110049,TAHOE PARK WATER CO - SKYLAND/NIELSEN,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,C,,,,TAHOE PARK WATER CO - SKYLAND/NIELSEN,Not At-Risk
CA3110018,TAHOE PARK WATER COMPANY,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,C,,,,TAHOE PARK WATER COMPANY,Not At-Risk
CA3110042,TAHOE SWISS VILLAGE UTILITY,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,D,,,,TAHOE SWISS VILLAGE UTILITY,Not At-Risk
CA3110035,WEIMAR WATER COMPANY,Placer,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,IOU,Original,IOU,Investor Owned Utility,C,,,,WEIMAR WATER COMPANY,Not At-Risk
CA1700606,BAYCLIFF WATER,Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,D,,,,BAYCLIFF WATER,Not At-Risk
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,Not At-Risk
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,LUCERNE WATER CO. - CAL WATER SERVICE,Potentially At-Risk
CA2310007,NORTH GUALALA WATER COMPANY,Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,C,,,,NORTH GUALALA WATER COMPANY,Not At-Risk
CA2310013,POINT ARENA WATER WORKS,Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,D,,,,POINT ARENA WATER WORKS,Not At-Risk
CA2310002,ROGINA WATER COMPANY INC.,Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,IOU,Original,IOU,Investor Owned Utility,C,,,,ROGINA WATER COMPANY INC.,Not At-Risk
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CALIFORNIA WATER SERVICE CO. - DIXON,Potentially At-Risk
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,Solano,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,Federal,Consolidations,IOU,Investor Owned Utility,A-CWSC,,,,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,Not At-Risk
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,Contra Costa,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,DISTRICT 04 - SAN FRANCISCO,IOU,Consolidations,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - BAY POINT,Not At-Risk
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,Alameda,DISTRICT 04 - SAN FRANCISCO,#N/A,DISTRICT 04 - SAN FRANCISCO,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CALIFORNIA WATER SERVICE - LIVERMORE,Not At-Risk
CA4410001,BIG BASIN WATER COMPANY,Santa Cruz,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,C,,,,BIG BASIN WATER COMPANY,Failing
CA2710006,CAL AM WATER COMPANY - AMBLER PARK,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM WATER COMPANY - AMBLER PARK,Not At-Risk
CA2701202,CAL AM WATER COMPANY - CHUALAR,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM WATER COMPANY - CHUALAR,Not At-Risk
CA2710004,CAL AM WATER COMPANY - MONTEREY,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM WATER COMPANY - MONTEREY,Not Assessed
CA2710021,CAL AM WATER COMPANY - TORO,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM WATER COMPANY - TORO,Not At-Risk
CA2702588,CANADA WOODS WC,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,D,,,,CANADA WOODS WC,Not At-Risk
CA2710009,CWSC KING CITY,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWSC KING CITY,Not At-Risk
CA2710013,CWSC LAS LOMAS,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWSC LAS LOMAS,At-Risk
CA2710019,CWSC OAK HILLS,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWSC OAK HILLS,Potentially At-Risk
CA2710010,CWSC SALINAS,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Consolidations,IOU,Investor Owned Utility,A-CWSC,,,,CWSC SALINAS,Not Assessed
CA2710012,CWSC SALINAS HILLS,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWSC SALINAS HILLS,Not At-Risk
CA2710016,LITTLE BEAR WATER COMPANY,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,C,,,,LITTLE BEAR WATER COMPANY,Potentially At-Risk
CA2710023,TASCO SPRECKELS WATER COMPANY,Monterey,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,D,"Confirmed CPUC system 3/22/23; Class D; the contact is for Tanimura and Antle Produce company/farm - Spreckles WC served Unincorporated community of Spreckels located 4 1/2 mi southwest of Salinas, but its not listed with a separate PWSID
",3/22/23,,TASCO SPRECKELS WATER COMPANY,Potentially At-Risk
CA2710022,CAL AM WATER COMPANY - HIDDEN HILLS,Monterey,DISTRICT 05 - MONTEREY,#N/A,DISTRICT 05 - MONTEREY,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM WATER COMPANY - HIDDEN HILLS,Not At-Risk
CA4210700,"AMERICAN WATER O&M, LLC - VSFB",Santa Barbara,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,Private,Consolidations,IOU,Investor Owned Utility,A-CalAm,"From CalAm website which is also contact in SDWIS: ""In September 2015, we were awarded a 50-year contract to own, operate, renew, and replace the water and wastewater systems serving Vandenberg Air Force Base in California.""",,,"AMERICAN WATER O&M, LLC - VSFB",Not At-Risk
CA5610040,CAL AMERICAN WATER CO,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AMERICAN WATER CO,Not At-Risk
CA5610021,CAL AMERICAN WATER COMPANY - PIRU,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AMERICAN WATER COMPANY - PIRU,Not At-Risk
CA5610010,CAL AMERICAN WC - RIO PLAZA,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AMERICAN WC - RIO PLAZA,Potentially At-Risk
CA4010023,GOLDEN STATE WATER COMPANY - EDNA,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - EDNA,Potentially At-Risk
CA4010040,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,Not At-Risk
CA4010027,NACIMIENTO WATER COMPANY,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,C,,,,NACIMIENTO WATER COMPANY,Failing
CA5610006,YERBA BUENA WATER COMPANY,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,D,,,,YERBA BUENA WATER COMPANY,Not At-Risk
CA5610081,CAL AMERICAN WC - LAS POSAS ESTATES,Ventura,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AMERICAN WC - LAS POSAS ESTATES,Not At-Risk
CA5610016,CALIFORNIA WATER SERVICE CO - WESTLAKE,Ventura,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CALIFORNIA WATER SERVICE CO - WESTLAKE,Not At-Risk
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,Santa Barbara,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - LAKE MARIE,Not At-Risk
CA4010017,GOLDEN STATE WATER COMPANY - LOS OSOS,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - LOS OSOS,Potentially At-Risk
CA4010018,GOLDEN STATE WATER COMPANY - NIPOMO,San Luis Obispo,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - NIPOMO,Not At-Risk
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,Santa Barbara,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - ORCUTT,Not At-Risk
CA5610059,GOLDEN STATE WATER COMPANY - SIMI VALLEY,Ventura,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - SIMI VALLEY,Potentially At-Risk
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,Santa Barbara,DISTRICT 06 - SANTA BARBARA,#N/A,DISTRICT 06 - SANTA BARBARA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER COMPANY - TANGLEWOOD,Not At-Risk
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL/AM WATER COMPANY - BALDWIN HILLS,Not At-Risk
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL/AM WATER COMPANY - SAN MARINO,Not At-Risk
CA1910024,GSWC - CLAREMONT,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GSWC - CLAREMONT,Not At-Risk
CA1910142,GSWC-SAN DIMAS,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GSWC-SAN DIMAS,Not At-Risk
CA1910212,GSWC-SOUTH ARCADIA,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GSWC-SOUTH ARCADIA,Not At-Risk
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-SUB,,,,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,Not At-Risk
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-SUB,,,,SUBURBAN WATER SYSTEMS-GLENDORA,Not At-Risk
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,Los Angeles,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-SUB,,,,SUBURBAN WATER SYSTEMS-SAN JOSE,Not Assessed
CA1910186,CAL-AM WATER COMPANY - DUARTE,Los Angeles,DISTRICT 07 - HOLLYWOOD,#N/A,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL-AM WATER COMPANY - DUARTE,Not At-Risk
CA1910223,GSWC-SOUTH SAN GABRIEL,Los Angeles,DISTRICT 07 - HOLLYWOOD,#N/A,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GSWC-SOUTH SAN GABRIEL,At-Risk
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,Los Angeles,DISTRICT 07 - HOLLYWOOD,#N/A,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-SUB,,,,SUBURBAN WATER SYSTEMS-LA MIRADA,Not At-Risk
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,Los Angeles,DISTRICT 07 - HOLLYWOOD,#N/A,DISTRICT 07 - HOLLYWOOD,IOU,Original,IOU,Investor Owned Utility,A-SUB,,,,SUBURBAN WATER SYSTEMS-WHITTIER,Not At-Risk
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,Orange,DISTRICT 08 - SANTA ANA,#N/A,DISTRICT 08 - SANTA ANA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WC - COWAN HEIGHTS,Not At-Risk
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,Orange,DISTRICT 08 - SANTA ANA,#N/A,DISTRICT 08 - SANTA ANA,IOU,Consolidations,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,Not At-Risk
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,Orange,DISTRICT 08 - SANTA ANA,#N/A,DISTRICT 08 - SANTA ANA,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WC - WEST ORANGE COUNTY,Not Assessed
CA3410023,CAL AM - FRUITRIDGE VISTA,Sacramento,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - FRUITRIDGE VISTA,Potentially At-Risk
CA3410047,CAL AM - WALNUT GROVE,Sacramento,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - WALNUT GROVE,At-Risk
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,Sacramento,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER CO - ARDEN WATER SERV,Not At-Risk
CA3410015,GOLDEN STATE WATER CO. - CORDOVA,Sacramento,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-GSWC,,,,GOLDEN STATE WATER CO. - CORDOVA,Not At-Risk
CA0910007,LUKINS BROTHERS WATER COMPANY,El Dorado,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,DISTRICT 09 - SACRAMENTO,IOU,Consolidations,IOU,Investor Owned Utility,C,,,,LUKINS BROTHERS WATER COMPANY,Not At-Risk
CA3410031,CAL AM - ANTELOPE,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - ANTELOPE,Not At-Risk
CA3410045,CAL AM - ARDEN,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - ARDEN,Not At-Risk
CA3410012,CAL AM - ISLETON,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - ISLETON,At-Risk
CA3410013,CAL AM - LINCOLN OAKS,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - LINCOLN OAKS,Not At-Risk
CA3410017,CAL AM - PARKWAY,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - PARKWAY,At-Risk
CA3410010,CAL AM - SUBURBAN ROSEMONT,Sacramento,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - SUBURBAN ROSEMONT,Not At-Risk
CA3110150,CAL AM - WEST PLACER,Placer,DISTRICT 09 - SACRAMENTO,#N/A,DISTRICT 09 - SACRAMENTO,IOU,Original,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - WEST PLACER,Not At-Risk
CA0210001,LAKE ALPINE WATER COMPANY,Alpine,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,IOU,Original,IOU,Investor Owned Utility,D,,,,LAKE ALPINE WATER COMPANY,Failing
CA3910001,CALIFORNIA WATER SERVICE - STOCKTON,San Joaquin,DISTRICT 10 - STOCKTON,#N/A,DISTRICT 10 - STOCKTON,IOU,Consolidations,IOU,Investor Owned Utility,A-CWSC,,,,CALIFORNIA WATER SERVICE - STOCKTON,Not Assessed
CA2010009,BAKMAN WATER-ROLLING HILLS,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,CSA,Consolidations,IOU,Investor Owned Utility,B- Bakman,,,,BAKMAN WATER-ROLLING HILLS,Not At-Risk
CA2010003,BASS LAKE WATER COMPANY,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,C,,,,BASS LAKE WATER COMPANY,At-Risk
CA2010013,CAL AM - COARSEGOLD,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - COARSEGOLD,Not At-Risk
CA2010014,CAL AM - GOLDSIDE,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - GOLDSIDE,Failing
CA2410008,CAL AM - MEADOWBROOK,Merced,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,Private,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - MEADOWBROOK,At-Risk
CA2010007,CAL AM - OAKHURST,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - OAKHURST,Not At-Risk
CA2010012,CAL AM - RAYMOND,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Consolidations,IOU,Investor Owned Utility,A-CalAm,,,,CAL AM - RAYMOND,At-Risk
CA5510011,COLD SPRINGS WATER CO,Tuolumne,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,C,,,,COLD SPRINGS WATER CO,Not At-Risk
CA5510007,DEL ORO WATER COMPANY - STRAWBERRY DIV.,Tuolumne,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,B- Del Oro,,,,DEL ORO WATER COMPANY - STRAWBERRY DIV.,Failing
CA5510016,"SIERRA PARK WATER COMPANY, INC.",Tuolumne,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Consolidations,IOU,Investor Owned Utility,D,,,,"SIERRA PARK WATER COMPANY, INC.",Failing
CA5500077,SLIDE INN SNOWBOWL WATER CO,Tuolumne,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,D,,,,SLIDE INN SNOWBOWL WATER CO,Not At-Risk
CA5510024,SONORA WATER COMPANY INC,Tuolumne,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,D,,,,SONORA WATER COMPANY INC,Not At-Risk
CA2010005,YOSEMITE SPRING PARK UTIL CO,Madera,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,IOU,Original,IOU,Investor Owned Utility,C,,,,YOSEMITE SPRING PARK UTIL CO,Not At-Risk
CA1010001,BAKMAN WATER COMPANY,Fresno,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Original,IOU,Investor Owned Utility,B- Bakman,,,,BAKMAN WATER COMPANY,Failing
CA1510003,CWS - BAKERSFIELD,Kern,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWS - BAKERSFIELD,Not Assessed
CA5400935,CWS - MULLEN WATER COMPANY,Tulare,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWS - MULLEN WATER COMPANY,Not At-Risk
CA1010024,CWS - SELMA,Fresno,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWS - SELMA,Not At-Risk
CA5410041,CWS - TULCO WATER COMPANY,Tulare,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Original,IOU,Investor Owned Utility,A-CWSC,,,,CWS - TULCO WATER COMPANY,At-Risk
CA5410016,CWS - VISALIA,Tulare,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,IOU,Consolidations,IOU,Investor Owned Utility,A-CWSC,,,,CWS - VISALIA,Not Assessed
